;B1;B2;B3;B4;B5;B6
X276_12985;1.295429262;4.075181801;9.49962526;32.70883221;17.02270589;13.64273408
X276_12980;31.60847399;53.71830556;100.8255681;207.2872981;140.3626626;100.746344
X276_12975;32.38573155;57.79348736;80.31501357;82.95432747;101.2403034;73.46087584
X276_12970;53.37168559;60.75725594;102.5527727;103.6436491;106.3172508;113.339637
X276_12965;92.4936493;99.28624751;109.8933922;94.77679695;130.8060558;167.3858528
X276_12960;48.44905439;90.39494176;131.0516485;102.8554844;70.18133129;66.11478825
X276_12955;23.83589842;32.97192548;48.79352975;41.96976663;42.7060867;47.22484875
X276_12950;6.218060457;8.891305747;9.283724686;10.64022253;8.660674925;7.870808125
X276_12945;6.995318014;12.2255454;9.283724686;10.64022253;7.764743036;8.395528667
X276_12935;5.958974604;5.927537165;10.14732698;15.56625147;11.64711455;11.01913138
X276_12930;31.09030228;43.71558659;47.06632515;57.73305926;48.67896596;34.63155575
X276_12925;9.586176538;4.075181801;1.511304019;2.364493895;1.493219815;1.574161625
X276_12920;173.0693494;134.8514705;114.6432048;73.4963519;43.60201859;58.24398013
X276_27075;4.663545343;5.186595019;3.454409186;10.44318137;16.126774;6.821367042
X276_27080;2.072686819;1.111413218;4.74981263;13.39879874;13.14033437;5.247205417
X276_12910;1171.327139;1166.613408;1146.216148;1001.954288;938.3393315;866.8383349
X276_12905;47.93088269;33.71286762;24.82856602;25.02422705;28.37117648;28.85962979
X276_27560;163.7422587;95.58153678;89.59873825;111.5252954;114.0819938;117.0126808
X276_12895;102.5979975;48.16123946;47.71402688;66.40287021;60.32608051;63.49118555
X276_12890;53.88985729;42.97464444;29.1465775;25.02422705;25.08609289;25.186586
X276_12885;99.48896731;57.05254521;40.37340736;31.72362642;40.61557896;49.32373092
X276_12880;105.4479419;57.05254521;31.08968267;27.38872095;23.89151703;31.4832325
X276_12875;161.9286577;247.4746766;145.9487881;32.3147499;50.17218577;93.40025642
X276_12870;555.2209816;763.9113521;419.7107161;98.12649663;192.0280682;290.6951801
X276_12865;671.5505293;919.1387316;481.0264791;138.7169752;283.1144769;430.2708442
X276_12860;528.5351388;836.8941535;559.8301886;198.6174872;258.028384;367.8290997
